,Синоптический индекс станции,Год по Гринвичу,Месяц по Гринвичу,День по Гринвичу,Срок по Гринвичу,Год источника (местный),Месяц источника (местный),День источника (местный),Срок источника (местный),Номер срока в сутках по ПДЗВ,Время местное,Номер часового пояса,Начало метеорологических суток по ПДЗВ,Горизонтальная дальность видимости,Пр.нал.знака >,Общее количество облачности,Количество облачности нижнего яруса,Форма облаков верхнего яруса,Форма облаков среднего яруса,Форма облаков вертикального развития,Слоистые и слоисто-кучевые облака,"Слоисто-дожд,разорванно-дождевые облака",Высота нижней границы облачности,Признак способа определения выс. н. г,Признак наличия облачности ниже уровня станции,Погода между сроками,Погода в срок наблюдения,Направление ветра,Средняя скорость ветра,Признак наличия знака >,Максимальная скорость ветра,Признак наличия знака >,Сумма осадков,Температура поверхности почвы,Температура поверхности почвы по минимальному термометру,Мин. температура пов-сти почвы между сроками,Макс. температура пов-сти почвы между сроками,Температура пов-сти почвы по макс. терм-ру п/встр.,Температура воздуха по сухому терм-ру,Темп.воздуха по смоченному терм-ру,Признак нал. льда на батисте,Температура воздуха по мин. терм-ру,Мин.температура воздуха между сроками,Макс. темперура воздуха между сроками,Темпера воздуха по макс. терм-ру после встрях.,Парциальное давление водяного пара,Указатель точности элемента,Относительная влажность воздуха,Дефицит насыщения водяного пара,Указатель точности элемента,Температура точки росы,Атмосферное давление на уровне станции,Атмосферное давление на уровне моря,Характеристика барической тенденции,Величина барической тенденции,date
18,28537,1966,1,19,15,1966,1,19,18,8,20,4,20,  ,0, 8, 0, 1, 1, 0, 0, 0,    ,0,  , 2, 2,140, 5,0,  ,0,   0.0,-16.0,     ,     ,     ,     ,-14.4,     ,0,     ,     ,     ,     ,     ,1.0, 58,   0.80,1.0,-20.0, 992.2,1037.4, 2, 0.3,1966-01-19
19,28537,1966,1,20,15,1966,1,20,18,8,20,4,20,  ,0, 3, 0, 0, 1, 0, 0, 0,    ,0,  , 1, 1,180, 2,0,  ,0,   0.0,-18.0,     ,     ,     ,     ,-15.1,     ,0,     ,     ,     ,     ,     ,1.0, 56,   0.80,1.0,-22.0, 994.9,1040.5, 7, 0.1,1966-01-20
20,28537,1966,1,21,15,1966,1,21,18,8,20,4,20,  ,0,12, 0, 1, 1, 0, 0, 0,    ,0,  , 2, 2,180, 4,0,  ,0,   0.0, -9.0,     ,     ,     ,     , -7.9,     ,0,     ,     ,     ,     ,     ,1.0, 53,   1.60,1.0,-16.0, 993.7,1037.9, 4, 0.0,1966-01-21
21,28537,1966,1,22,15,1966,1,22,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 700,0,  , 2,71,360, 1,0,  ,0,   0.0, -9.0,     ,     ,     ,     , -9.1,     ,0,     ,     ,     ,     ,     ,1.0, 93,   0.30,1.0,-10.0, 997.0,1041.5, 2, 0.1,1966-01-22
22,28537,1966,1,23,15,1966,1,23,18,8,20,4,20,  ,0,10, 0, 8, 1, 0, 0, 0,    ,0,  , 3,36,110, 5,0,  ,0,   0.0, -7.0,     ,     ,     ,     , -5.5,     ,0,     ,     ,     ,     ,     ,1.0, 49,   2.10,1.0,-14.0, 990.5,1034.2, 8, 0.5,1966-01-23
23,28537,1966,1,24,15,1966,1,24,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 2, 0, 700,0,  , 2, 2,140, 5,0,  ,0,   0.0, -3.0,     ,     ,     ,     , -1.7,     ,0,     ,     ,     ,     ,     ,1.0, 47,   2.80,1.0,-11.0, 983.7,1026.6, 7, 0.5,1966-01-24
24,28537,1966,1,25,15,1966,1,25,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 1, 0, 600,0,  , 2, 2,110, 1,0,  ,0,   0.0, -3.0,     ,     ,     ,     , -3.3,     ,0,     ,     ,     ,     ,     ,1.0, 90,   0.50,1.0, -5.0, 977.8,1020.7, 7, 0.4,1966-01-25
25,28537,1966,1,26,15,1966,1,26,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 600,0,  , 7,71, 50, 2,0,  ,0,   1.1, -6.0,     ,     ,     ,     , -6.9,     ,0,     ,     ,     ,     ,     ,1.0, 91,   0.30,1.0, -8.0, 974.5,1017.7, 7, 0.2,1966-01-26
26,28537,1966,1,27,15,1966,1,27,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 1, 0, 300,0,  , 2, 2,270, 3,0,  ,0,   0.0, -5.0,     ,     ,     ,     , -5.0,     ,0,     ,     ,     ,     ,     ,1.0, 90,   0.40,1.0, -6.0, 975.1,1018.0, 2, 0.6,1966-01-27
27,28537,1966,1,28,15,1966,1,28,18,8,20,4,20,  ,0, 0, 0, 0, 0, 0, 0, 0,    ,0,  , 0, 2,270, 4,0,  ,0,   0.0,-16.0,     ,     ,     ,     ,-11.5,     ,0,     ,     ,     ,     ,     ,1.0, 73,   0.60,1.0,-16.0, 974.6,1018.6, 0, 0.3,1966-01-28
28,28537,1966,1,29,15,1966,1,29,18,8,20,4,20,  ,0,12, 0, 5, 1, 0, 0, 0,    ,0,  , 7,71,  0, 0,0,  ,0,   0.3,-17.0,     ,     ,     ,     ,-18.1,     ,0,     ,     ,     ,     ,     ,1.0, 81,   0.30,1.0,-21.0, 974.9,1020.1, 7, 0.5,1966-01-29
29,28537,1966,1,30,15,1966,1,30,18,8,20,4,20,  ,0, 0, 0, 0, 0, 0, 0, 0,    ,0,  , 0, 1,290, 3,0,  ,0,   0.0,-30.0,     ,     ,     ,     ,-23.1,     ,0,     ,     ,     ,     ,     ,1.0, 77,   0.20,1.0,-26.0, 973.7,1019.8, 2, 1.4,1966-01-30
30,28537,1966,1,31,15,1966,1,31,18,8,20,4,20,  ,0,10, 0, 8, 2, 0, 0, 0,    ,0,  , 7,71,180, 6,0,  ,0,   0.9,-18.0,     ,     ,     ,     ,-18.0,     ,0,     ,     ,     ,     ,     ,1.0, 78,   0.30,1.0,-21.0, 967.7,1012.7, 7, 4.5,1966-01-31
31,28537,1966,2,1,15,1966,2,1,18,8,20,4,20,  ,0,10,12, 8, 2, 0, 0, 3, 500,0,  , 7,71,200, 6,0,  ,0,   0.5, -8.0,     ,     ,     ,     , -7.8,     ,0,     ,     ,     ,     ,     ,1.0, 84,   0.60,1.0,-10.0, 963.1,1006.0, 3, 0.2,1966-02-01
32,28537,1966,2,2,15,1966,2,2,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 1, 0, 500,0,  , 7,77,200, 5,0,  ,0,   0.5, -3.0,     ,     ,     ,     , -2.1,     ,0,     ,     ,     ,     ,     ,1.0, 82,   0.90,1.0, -5.0, 959.7,1001.6, 1, 0.3,1966-02-02
33,28537,1966,2,3,15,1966,2,3,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 500,0,  , 7,73,140, 2,0,  ,0,   1.1, -2.0,     ,     ,     ,     , -1.0,     ,0,     ,     ,     ,     ,     ,1.0, 97,   0.20,1.0, -1.0, 954.3, 995.8, 7, 2.8,1966-02-03
34,28537,1966,2,4,15,1966,2,4,18,8,20,4,20,  ,0,12, 0, 1, 0, 0, 0, 0,    ,0,  , 3,36,230, 6,0,  ,0,   0.0,-27.0,     ,     ,     ,     ,-25.5,     ,0,     ,     ,     ,     ,     ,1.0, 65,   0.30,1.0,-31.0, 953.7, 999.4, 2, 2.4,1966-02-04
35,28537,1966,2,5,15,1966,2,5,18,8,20,4,20,  ,0,10, 0, 8, 2, 0, 0, 0,    ,0,  , 3,71,230, 5,0,  ,0,   0.0,-29.0,     ,     ,     ,     ,-29.3,     ,0,     ,     ,     ,     ,     ,1.0, 63,   0.20,1.0,-34.0, 956.1,1002.4, 2, 0.4,1966-02-05
36,28537,1966,2,6,15,1966,2,6,18,8,20,4,20,  ,0, 8, 3, 5, 0, 0, 0, 3, 400,1,  , 7,71,230, 2,0,  ,0,   0.2,-32.0,     ,     ,     ,     ,-27.5,     ,0,     ,     ,     ,     ,     ,1.0, 68,   0.20,1.0,-32.0, 962.5,1008.7, 2, 1.6,1966-02-06
37,28537,1966,2,7,15,1966,2,7,18,8,20,4,20,  ,0, 2, 0, 1, 0, 0, 0, 0,    ,0,  , 0, 2,  0, 0,0,  ,0,   0.0,-36.0,     ,     ,     ,     ,-30.2,     ,0,     ,     ,     ,     ,     ,1.0, 67,   0.20,1.0,-34.0, 971.3,1018.6, 8, 1.3,1966-02-07
38,28537,1966,2,8,15,1966,2,8,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 500,0,  , 7,71,180, 3,0,  ,0,   0.3,-10.0,     ,     ,     ,     , -8.2,     ,0,     ,     ,     ,     ,     ,1.0, 84,   0.50,1.0,-10.0, 958.3,1001.0, 2, 0.8,1966-02-08
39,28537,1966,2,9,15,1966,2,9,18,8,20,4,20,  ,0, 4, 4, 0, 0, 2, 0, 0, 500,0,  , 3,38,230,12,0,  ,0,   0.0,-18.0,     ,     ,     ,     ,-17.2,     ,0,     ,     ,     ,     ,     ,1.0, 70,   0.50,1.0,-21.0, 964.3,1009.0, 2, 2.6,1966-02-09
40,28537,1966,2,10,15,1966,2,10,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 300,1,  , 7,73,360, 1,0,  ,0,   2.6,-10.0,     ,     ,     ,     ,-11.3,     ,0,     ,     ,     ,     ,     ,1.0, 89,   0.40,1.0,-12.0, 953.1, 996.0, 7, 2.7,1966-02-10
41,28537,1966,2,11,15,1966,2,11,18,8,20,4,20,  ,0,12, 2, 1, 1, 0, 0, 3, 500,1,  , 7,71,230, 5,0,  ,0,   0.2,-19.0,     ,     ,     ,     ,-18.2,     ,0,     ,     ,     ,     ,     ,1.0, 71,   0.40,1.0,-22.0, 970.7,1015.7, 2, 2.6,1966-02-11
42,28537,1966,2,12,15,1966,2,12,18,8,20,4,20,  ,0,10, 0, 3, 0, 0, 0, 0,    ,0,  , 7,71,200, 4,0,  ,0,   0.0,-18.0,     ,     ,     ,     ,-16.6,     ,0,     ,     ,     ,     ,     ,1.0, 74,   0.40,1.0,-20.0, 983.9,1029.3, 2, 1.2,1966-02-12
43,28537,1966,2,13,15,1966,2,13,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 400,1,  , 7,73,360, 6,0,  ,0,   0.7,-13.0,     ,     ,     ,     ,-13.3,     ,0,     ,     ,     ,     ,     ,1.0, 89,   0.20,1.0,-14.0, 978.6,1023.1, 3, 1.1,1966-02-13
44,28537,1966,2,14,15,1966,2,14,18,8,20,4,20,  ,0, 0, 0, 1, 0, 0, 0, 0,    ,0,  , 0, 2,160, 1,0,  ,0,   0.0,-26.0,     ,     ,     ,     ,-22.6,     ,0,     ,     ,     ,     ,     ,1.0, 61,   0.40,1.0,-29.0, 992.3,1039.2, 1, 0.8,1966-02-14
45,28537,1966,2,15,15,1966,2,15,18,8,20,4,20,  ,0,10, 0, 5, 1, 0, 0, 0,    ,0,  , 7,71,160, 1,0,  ,0,   0.3,-16.0,     ,     ,     ,     ,-15.4,     ,0,     ,     ,     ,     ,     ,1.0, 84,   0.30,1.0,-17.0, 985.5,1030.7, 7, 0.8,1966-02-15
46,28537,1966,2,16,15,1966,2,16,18,8,20,4,20,  ,0, 4, 0, 1, 0, 0, 0, 0,    ,0,  , 1, 1, 20, 4,0,  ,0,   0.0,-21.0,     ,     ,     ,     ,-19.1,     ,0,     ,     ,     ,     ,     ,1.0, 80,   0.40,1.0,-22.0, 986.7,1032.6, 2, 1.2,1966-02-16
47,28537,1966,2,17,15,1966,2,17,18,8,20,4,20,  ,0, 0, 0, 0, 0, 0, 0, 0,    ,0,  , 0, 2, 50, 2,0,  ,0,   0.0,-30.0,     ,     ,     ,     ,-24.1,     ,0,     ,     ,     ,     ,     ,1.0, 65,   0.40,1.0,-29.0, 996.6,1043.9, 2, 1.3,1966-02-17
48,28537,1966,2,18,15,1966,2,18,18,8,20,4,20,  ,0,10, 0, 3, 0, 0, 0, 0,    ,0,  , 2, 2,  0, 0,0,  ,0,   0.0,-18.0,     ,     ,     ,     ,-18.3,     ,0,     ,     ,     ,     ,     ,1.0, 58,   0.50,1.0,-24.0, 997.7,1044.1, 7, 1.0,1966-02-18
49,28537,1966,2,19,15,1966,2,19,18,8,20,4,20,  ,0,10, 0, 8, 2, 0, 0, 0,    ,0,  , 3,36,200, 4,0,  ,0,   0.0,-10.0,     ,     ,     ,     , -7.0,     ,0,     ,     ,     ,     ,     ,1.0, 32,   2.40,1.0,-21.0, 984.7,1028.4, 7, 1.4,1966-02-19
50,28537,1966,2,20,15,1966,2,20,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 300,1,  , 7,73,230, 4,0,  ,0,   1.3, -9.0,     ,     ,     ,     , -8.8,     ,0,     ,     ,     ,     ,     ,1.0, 89,   0.30,1.0,-10.0, 976.3,1019.9, 3, 0.2,1966-02-20
51,28537,1966,2,21,15,1966,2,21,18,8,20,4,20,  ,0, 7, 0, 5, 0, 0, 0, 0,    ,0,  , 1, 2,230, 2,0,  ,0,   0.0,-14.0,     ,     ,     ,     ,-11.4,     ,0,     ,     ,     ,     ,     ,1.0, 73,   0.80,1.0,-15.0, 978.3,1022.5, 7, 0.7,1966-02-21
52,28537,1966,2,22,15,1966,2,22,18,8,20,4,20,  ,0, 2, 0, 1, 0, 0, 0, 0,    ,0,  , 0, 2,  0, 0,0,  ,0,   0.0,-17.0,     ,     ,     ,     ,-12.7,     ,0,     ,     ,     ,     ,     ,1.0, 84,   0.30,1.0,-15.0, 974.7,1019.0, 2, 2.1,1966-02-22
53,28537,1966,2,23,15,1966,2,23,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 300,1,  , 8,73,180, 5,0,  ,0,   1.0, -6.0,     ,     ,     ,     , -4.3,     ,0,     ,     ,     ,     ,     ,1.0, 94,   0.20,1.0, -5.0, 969.9,1012.6, 7, 1.9,1966-02-23
54,28537,1966,2,24,15,1966,2,24,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 400,0,  , 7,71,230, 3,0,  ,0,   0.4, -1.0,     ,     ,     ,     , -0.4,     ,0,     ,     ,     ,     ,     ,1.0, 93,   0.40,1.0, -1.0, 958.6,1000.2, 8, 0.4,1966-02-24
55,28537,1966,2,25,15,1966,2,25,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 400,1,  , 7,73,360, 5,0,  ,0,   1.1, -6.0,     ,     ,     ,     , -6.7,     ,0,     ,     ,     ,     ,     ,1.0, 91,   0.30,1.0, -8.0, 965.1,1007.9, 2, 0.9,1966-02-25
56,28537,1966,2,26,15,1966,2,26,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 400,1,  , 7,73, 70,10,0,  ,0,   1.0,-19.0,     ,     ,     ,     ,-20.4,     ,0,     ,     ,     ,     ,     ,1.0, 79,   0.30,1.0,-23.0, 966.2,1011.3, 3, 0.8,1966-02-26
57,28537,1966,2,27,15,1966,2,27,18,8,20,4,20,  ,0, 8, 0, 5, 0, 0, 0, 0,    ,0,  , 7,71, 50, 5,0,  ,0,   0.4,-22.0,     ,     ,     ,     ,-24.1,     ,0,     ,     ,     ,     ,     ,1.0, 72,   0.30,1.0,-28.0, 968.9,1014.8, 3, 1.5,1966-02-27
58,28537,1966,2,28,15,1966,2,28,18,8,20,4,20,  ,0,12, 0, 1, 0, 0, 0, 0,    ,0,  , 2, 2,360, 2,0,  ,0,   0.0,-29.0,     ,     ,     ,     ,-26.7,     ,0,     ,     ,     ,     ,     ,1.0, 75,   0.20,1.0,-30.0, 977.3,1024.1, 2, 1.4,1966-02-28
59,28537,1966,3,1,15,1966,3,1,18,8,20,4,20,  ,0, 5, 0, 1, 0, 0, 0, 0,    ,0,  , 0, 2,  0, 0,0,  ,0,   0.0,-30.0,     ,     ,     ,     ,-25.5,     ,0,     ,     ,     ,     ,     ,1.0, 65,   0.30,1.0,-31.0, 984.7,1032.0, 0, 0.5,1966-03-01
60,28537,1966,3,2,15,1966,3,2,18,8,20,4,20,  ,0,10, 0, 8, 2, 0, 0, 0,    ,0,  , 7,71,230, 4,0,  ,0,   0.2,-14.0,     ,     ,     ,     ,-14.1,     ,0,     ,     ,     ,     ,     ,1.0, 75,   0.50,1.0,-17.0, 980.5,1025.3, 3, 0.2,1966-03-02
61,28537,1966,3,3,15,1966,3,3,18,8,20,4,20,  ,0,12, 0, 0, 1, 0, 0, 0,    ,0,  , 2, 2,200, 3,0,  ,0,   0.0, -8.0,     ,     ,     ,     ,-10.4,     ,0,     ,     ,     ,     ,     ,1.0, 65,   1.00,1.0,-15.0, 978.5,1022.5, 7, 0.2,1966-03-03
62,28537,1966,3,4,15,1966,3,4,18,8,20,4,20,  ,0,10, 0, 8, 1, 0, 0, 0,    ,0,  , 7,71,230, 5,0,  ,0,   0.2,-10.0,     ,     ,     ,     , -8.9,     ,0,     ,     ,     ,     ,     ,1.0, 79,   0.60,1.0,-12.0, 972.2,1015.6, 7, 0.4,1966-03-04
63,28537,1966,3,5,15,1966,3,5,18,8,20,4,20,  ,0, 0, 0, 0, 0, 0, 0, 0,    ,0,  , 3,36,270, 6,0,  ,0,   0.0,-16.0,     ,     ,     ,     ,-13.0,     ,0,     ,     ,     ,     ,     ,1.0, 60,   0.90,1.0,-19.0, 978.5,1023.0, 2, 1.8,1966-03-05
64,28537,1966,3,6,15,1966,3,6,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 400,1,  , 7,73,230, 6,0,  ,0,   1.6, -4.0,     ,     ,     ,     , -2.5,     ,0,     ,     ,     ,     ,     ,1.0, 93,   0.40,1.0, -4.0, 972.3,1014.7, 7, 0.4,1966-03-06
65,28537,1966,3,7,15,1966,3,7,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 500,0,  , 7,73,  0, 0,0,  ,0,   0.6, -7.0,     ,     ,     ,     , -6.9,     ,0,     ,     ,     ,     ,     ,1.0, 97,   0.10,1.0, -7.0, 973.3,1016.6, 6, 0.6,1966-03-07
66,28537,1966,3,8,15,1966,3,8,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 500,0,  , 8,73,  0, 0,0,  ,0,   0.6, -5.0,     ,     ,     ,     , -5.3,     ,0,     ,     ,     ,     ,     ,1.0, 93,   0.30,1.0, -6.0, 967.3,1009.8, 7, 0.6,1966-03-08
67,28537,1966,3,9,15,1966,3,9,18,8,20,4,20,  ,0,12,12, 0, 0, 2, 0, 0, 700,0,  , 8,85,230, 1,0,  ,0,   0.0,-11.0,     ,     ,     ,     , -7.8,     ,0,     ,     ,     ,     ,     ,1.0, 81,   0.70,1.0,-11.0, 968.2,1011.4, 2, 0.4,1966-03-09
68,28537,1966,3,10,15,1966,3,10,18,8,20,4,20,  ,0,10,10, 8, 8, 0, 0, 2, 400,0,  , 8,71,230, 6,0,  ,0,   0.3,  0.0,     ,     ,     ,     ,  0.2,     ,0,     ,     ,     ,     ,     ,1.0, 96,   0.20,1.0,  0.0, 962.5,1004.0, 2, 1.6,1966-03-10
69,28537,1966,3,11,15,1966,3,11,18,8,20,4,20,  ,0,12,12, 0, 0, 2, 0, 0, 500,1,  , 8,86,230, 3,0,  ,0,   0.7,  4.0,     ,     ,     ,     , -3.5,     ,0,     ,     ,     ,     ,     ,1.0, 89,   0.50,1.0, -5.0, 970.7,1013.2, 2, 0.9,1966-03-11
70,28537,1966,3,12,15,1966,3,12,18,8,20,4,20,  ,0, 3, 3, 0, 0, 0, 2, 0, 500,0,  , 8, 1,250, 3,0,  ,0,   0.3, -4.0,     ,     ,     ,     , -2.5,     ,0,     ,     ,     ,     ,     ,1.0, 86,   0.70,1.0, -4.0, 975.1,1017.7, 2, 0.9,1966-03-12
71,28537,1966,3,13,15,1966,3,13,18,8,20,4,20,  ,0,12, 0, 1, 1, 0, 0, 0,    ,0,  , 2, 2,360, 3,0,  ,0,   0.0, -6.0,     ,     ,     ,     , -4.8,     ,0,     ,     ,     ,     ,     ,1.0, 80,   0.90,1.0, -8.0, 973.1,1016.0, 7, 0.2,1966-03-13
